	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
231	481.6	1.6342e-003	-130.97	
232	481.8	1.6292e-003	-131.79	
233	481.93	1.6254e-003	-132.28	
234	482.01	1.6228e-003	-132.57	
235	482.06	1.621e-003	-132.74	
236	482.09	1.6199e-003	-132.85	
237	482.14	1.6181e-003	-133.01	
238	482.19	1.6162e-003	-133.18	
239	482.22	1.615e-003	-133.28	
240	482.27	1.613e-003	-133.44	
241	482.35	1.6097e-003	-133.69	
242	482.47	1.6039e-003	-134.08	
243	482.68	1.5938e-003	-134.66	
244	483.02	1.5764e-003	-135.44	
245	483.57	1.548e-003	-136.26	
246	484.47	1.514e-003	-136.49	
247	485.92	1.5232e-003	-135.23	
248	487.88	1.674e-003	-134.7	
249	489.77	1.9163e-003	-138.8	
250	491.24	2.0998e-003	-145.86	
251	492.15	2.17e-003	-151.77	
252	492.71	2.1834e-003	-155.84	
253	493.05	2.1778e-003	-158.43	
254	493.27	2.1687e-003	-160.03	
255	493.4	2.1609e-003	-161.02	
256	493.48	2.1553e-003	-161.63	
257	493.53	2.1515e-003	-162.	
258	493.56	2.1491e-003	-162.22	
259	493.61	2.145e-003	-162.59	
260	493.66	2.1407e-003	-162.95	
261	493.69	2.1379e-003	-163.18	
262	493.74	2.1332e-003	-163.54	
263	493.82	2.125e-003	-164.13	
264	493.95	2.1105e-003	-165.08	
265	494.17	2.0838e-003	-166.58	
266	494.52	2.0329e-003	-168.9	
267	495.08	1.9337e-003	-172.24	
268	496.	1.7467e-003	-176.22	
269	497.49	1.4443e-003	-178.01	
270	499.9	1.1313e-003	-168.75	
271	503.82	1.2365e-003	-144.23	
272	505.23	1.4169e-003	-139.22	
273	506.38	1.6061e-003	-136.96	
274	510.35	2.5888e-003	-139.78	
275	512.83	3.5089e-003	-150.28	
276	514.37	4.1452e-003	-161.12	
277	515.32	4.4903e-003	-169.55	
278	515.91	4.6546e-003	-175.3	
279	516.27	4.7302e-003	-178.99	
280	516.49	4.7656e-003	178.7	
281	516.63	4.7829e-003	177.26	
