	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
226	526.83	7.1919e-007	26.867	
227	529.39	5.9901e-007	23.595	
228	531.65	5.1717e-007	22.519	
229	536.55	4.033e-007	26.724	
230	539.13	3.9333e-007	31.887	
231	540.47	4.066e-007	33.202	
232	541.17	4.1614e-007	32.992	
233	541.53	4.2105e-007	32.622	
234	541.72	4.2347e-007	32.364	
235	541.81	4.2468e-007	32.213	
236	541.87	4.2529e-007	32.13	
237	541.92	4.2593e-007	32.039	
238	541.97	4.2656e-007	31.944	
239	542.02	4.2714e-007	31.852	
240	542.12	4.2821e-007	31.668	
241	542.31	4.3013e-007	31.286	
242	542.67	4.3322e-007	30.462	
243	543.37	4.3653e-007	28.633	
244	544.73	4.329e-007	24.811	
245	547.34	4.0226e-007	18.725	
246	552.38	3.3198e-007	13.056	
247	554.78	3.0394e-007	11.948	
248	556.88	2.8188e-007	11.436	
249	562.01	2.3382e-007	11.521	
250	564.71	2.081e-007	12.565	
251	566.11	1.9341e-007	13.926	
252	566.85	1.8556e-007	15.084	
253	567.23	1.8152e-007	15.848	
254	567.42	1.7946e-007	16.294	
255	567.52	1.784e-007	16.54	
256	567.58	1.7785e-007	16.671	
257	567.63	1.7727e-007	16.814	
258	567.69	1.7669e-007	16.961	
259	567.74	1.7615e-007	17.1	
260	567.85	1.7512e-007	17.377	
261	568.04	1.7316e-007	17.94	
262	568.42	1.6954e-007	19.139	
263	569.16	1.6325e-007	21.874	
264	570.57	1.5485e-007	28.649	
265	573.31	1.5988e-007	45.215	
266	573.78	1.6465e-007	48.019	
267	574.19	1.6987e-007	50.277	
268	576.94	2.33e-007	58.367	
269	578.38	2.7903e-007	56.145	
270	579.13	3.0224e-007	53.407	
271	579.51	3.1325e-007	51.66	
272	579.71	3.1858e-007	50.685	
273	579.82	3.2122e-007	50.164	
274	579.87	3.2256e-007	49.89	
275	579.93	3.2397e-007	49.593	
276	579.99	3.2535e-007	49.293	
277	580.04	3.2661e-007	49.012	
278	580.15	3.2898e-007	48.462	
279	580.35	3.3328e-007	47.382	
280	580.74	3.4054e-007	45.243	
281	581.49	3.5055e-007	41.039	
282	582.93	3.5611e-007	33.358	
283	585.73	3.3689e-007	22.28	
284	591.13	2.8465e-007	12.02	
285	598.3	2.383e-007	7.1779	
286	604.98	2.1047e-007	5.3852	
287	610.56	1.9337e-007	4.7898	
288	613.49	1.8631e-007	4.7515	
289	615.01	1.8329e-007	4.7476	
290	615.81	1.8189e-007	4.7221	
291	616.22	1.812e-007	4.6982	
292	616.43	1.8085e-007	4.6826	
293	616.55	1.8067e-007	4.6736	
294	616.6	1.8058e-007	4.6687	
295	616.66	1.8048e-007	4.6633	
296	616.73	1.8038e-007	4.6576	
297	616.78	1.8028e-007	4.6522	
298	616.89	1.801e-007	4.6413	
299	617.11	1.7976e-007	4.6184	
300	617.52	1.7909e-007	4.5681	
301	618.32	1.778e-007	4.451	
302	619.86	1.752e-007	4.1807	
303	622.83	1.6985e-007	3.678	
304	628.57	1.5992e-007	3.0602	
305	639.65	1.4421e-007	2.4691	
306	661.04	1.2231e-007	1.8991	
307	702.35	9.5411e-008	1.3646	
308	782.1	6.6859e-008	0.91479	
309	936.06	4.1029e-008	0.58211	
310	1000.	3.4871e-008	0.51046	
